Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,Link Relatório
4,sáb,2024-03-16,13:00,Fire,2.2,4–3,3.0,CF Montréal,14.874,Soldier Field,,Relatório da Partida,,/pt/partidas/ebdee699/Chicago-Fire-CF-Montreal-2024Marco16-Major-League-Soccer
4,sáb,2024-03-16,14:00,D.C. United,1.4,1–3,2.3,Inter Miami,19.365,Audi Field,,Relatório da Partida,,/pt/partidas/1bc74dac/DC-United-Inter-Miami-2024Marco16-Major-League-Soccer
4,sáb,2024-03-16,19:30,NYCFC,1.4,2–1,1.3,Toronto FC,18.623,Yankee Stadium,,Relatório da Partida,,/pt/partidas/44aa0fbf/New-York-City-FC-Toronto-FC-2024Marco16-Major-League-Soccer
4,sáb,2024-03-16,19:30,Crew,2.0,3–0,0.3,NY Red Bulls,20.314,Lower.com Field,,Relatório da Partida,,/pt/partidas/a953c4ca/Columbus-Crew-New-York-Red-Bulls-2024Marco16-Major-League-Soccer
4,dom,2024-03-17,14:00,NE Revolution,1.2,1–2,1.0,FC Cincinnati,14.557,Gillette Stadium,,Relatório da Partida,,/pt/partidas/8a1b90c6/New-England-Revolution-FC-Cincinnati-2024Marco17-Major-League-Soccer
4,dom,2024-03-17,19:00,Atlanta Utd,0.8,2–0,0.5,Orlando City,42.631,Mercedes-Benz Stadium,,Relatório da Partida,,/pt/partidas/7bb29cba/Atlanta-United-Orlando-City-2024Marco17-Major-League-Soccer
4,sáb,2024-03-16,19:30,Dynamo FC,1.1,1–0,1.5,Portland Timbers,16.003,Shell Energy Stadium,,Relatório da Partida,,/pt/partidas/21fafab2/Houston-Dynamo-Portland-Timbers-2024Marco16-Major-League-Soccer
4,sáb,2024-03-16,19:30,FC Dallas,1.0,1–3,1.2,Vancouver W'caps,19.096,Toyota Stadium,,Relatório da Partida,,/pt/partidas/288fcaab/FC-Dallas-Vancouver-Whitecaps-FC-2024Marco16-Major-League-Soccer
4,sáb,2024-03-16,19:30,Minnesota Utd,0.8,2–0,1.6,LAFC,19.315,Allianz Field,,Relatório da Partida,,/pt/partidas/55a8dc23/Minnesota-United-Los-Angeles-FC-2024Marco16-Major-League-Soccer
4,sáb,2024-03-16,19:30,Sporting KC,1.0,2–1,1.3,SJ Earthquakes,18.219,Children's Mercy Park,,Relatório da Partida,,/pt/partidas/a6734d95/Sporting-Kansas-City-San-Jose-Earthquakes-2024Marco16-Major-League-Soccer
